scenario,date,origin,destination,ready,baseline_feasible,scenario_feasible,baseline_within_budget,scenario_within_budget,elapsed_change_minutes
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,12:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,12:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,13:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,13:30:00,False,False,False,False,
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,14:00:00,False,False,False,False,
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,14:30:00,False,False,False,False,
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,15:00:00,False,False,False,False,
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,15:30:00,False,False,False,False,
blue_plus_10,2026-09-15,いなほこども園,kajiso_vio,16:00:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,08:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,08:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,09:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,09:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,10:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,10:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,11:00:00,True,True,False,False,-139.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,11:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,12:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,12:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,13:00:00,False,True,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,13:30:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,14:00:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,14:30:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,15:00:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,15:30:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_libre,16:00:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,08:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,08:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,09:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,09:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,10:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,10:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,11:00:00,True,True,False,False,-139.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,11:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,12:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,12:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,13:00:00,False,True,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,13:30:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,14:00:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,14:30:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,15:00:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,15:30:00,False,False,False,False,
blue_plus_10,2026-09-15,童子丸郵便局口,kajiso_vio,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,09:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,09:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,10:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,10:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,11:00:00,True,True,True,True,0.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,11:30:00,True,True,True,True,0.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,13:30:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_libre,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,09:00:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,09:30:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,10:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,10:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,11:00:00,True,True,False,False,-95.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,11:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,13:30:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,越前大野駅,kajiso_vio,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,09:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,09:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,10:00:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,10:30:00,True,True,False,False,0.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,11:00:00,True,True,True,True,0.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,11:30:00,True,True,False,True,-153.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,13:30:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_libre,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,08:30:00,True,True,True,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,09:00:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,09:30:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,10:00:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,10:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,11:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,11:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,13:00:00,True,True,True,False,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,13:30:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,結ステーション,kajiso_vio,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,09:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,09:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,10:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,10:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,11:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,11:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,13:30:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_libre,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,09:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,09:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,10:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,10:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,11:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,11:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,13:30:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,下庄小学校,kajiso_vio,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,09:00:00,True,True,True,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,09:30:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,10:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,10:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,11:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,11:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,13:30:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_libre,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,09:00:00,True,True,True,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,09:30:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,10:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,10:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,11:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,11:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,13:30:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,青少年教育センター,kajiso_vio,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,08:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,09:00:00,True,True,True,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,09:30:00,True,True,True,True,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,10:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,10:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,11:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,11:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,12:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,12:30:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,13:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,13:30:00,False,False,False,False,
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,14:00:00,False,False,False,False,
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,14:30:00,False,False,False,False,
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,15:00:00,False,False,False,False,
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,15:30:00,False,False,False,False,
blue_plus_10,2026-09-19,陽明中学校口,kajiso_libre,16:00:00,False,False,False,False,
blue_plus_10,2026-09-19,陽明中学校口,kajiso_vio,08:00:00,True,True,False,False,10.0
blue_plus_10,2026-09-19,陽明中学校口,kajiso_vio,08:30:00,True,True,False,False,10.0
